id,membro_id,parente_id,tipo_relacionamento,created_at,updated_at
2cdeab28-379e-4e95-b4e4-e06db75b3769,cdf8b25e,22ec752c,filha,2025-10-04 22:50:45.264181+00,2025-10-04 22:50:45.264181+00
2d807fb1-eeaf-42e5-9326-7c57c3a3efd9,42a86117,mem00002,mae,2025-09-01 14:44:57.844221+00,2025-09-01 14:44:57.844221+00
3238044d-957a-469a-8072-4ce8b198f1c7,mem00045,e0ffcfd8,pai,2025-08-16 02:25:38.023895+00,2025-08-16 02:25:38.023895+00
33e1f4eb-3d21-4b00-933b-3a60da199627,mem00030,16486bef,filho,2025-10-08 16:31:12.868865+00,2025-10-08 16:31:12.868865+00
3a2cb8f7-4854-40a1-af61-ff351b98fb94,ac5b08f6,29d25dae,mae,2025-09-01 14:55:25.444891+00,2025-09-01 14:55:25.444891+00
3ad40052-eddd-4226-9622-761260f7c26c,MEM000166,829999c2,irma,2025-09-04 14:57:47.614359+00,2025-09-04 14:57:47.614359+00
3eecef7e-d73d-408e-92f6-0b9f928011d3,cdf8b25e,780cfaf4,filho,2025-10-04 22:51:14.314653+00,2025-10-04 22:51:14.314653+00
3f35b6ef-a3ac-41f3-bedc-6f87e1f162c9,f20531ae,mem00027,mae,2025-09-12 11:46:17.402735+00,2025-09-12 11:46:17.402735+00
424f5333-e89a-4b45-ab62-070bb63c2ea5,6be35098,07f41234,pai,2025-09-01 14:50:06.173519+00,2025-09-01 14:50:06.173519+00
4fe90d2e-f986-4095-9b7c-df3895889cce,22ec752c,d2020b13,pai,2025-10-04 22:49:32.392873+00,2025-10-04 22:49:32.392873+00
51d7a8ae-96a0-4d79-bf32-8e1f73dda429,42a86117,3f544d96,pai,2025-09-01 14:45:11.756465+00,2025-09-01 14:45:11.756465+00
5461d293-95e7-4926-a226-f289faf1315b,mem00002,3f544d96,conjuge,2025-10-17 14:50:14.954661+00,2025-10-17 14:50:14.954661+00
560ebf8e-4413-4990-80fe-8411ba51ce9a,e37f247a,88d86d1a,mae,2025-09-01 13:05:30.147775+00,2025-09-01 13:05:30.147775+00
56fce023-4ff9-416f-a02c-40c27b7e8ced,084ec4db,31ed3988,pai,2025-09-01 14:53:55.337861+00,2025-09-01 14:53:55.337861+00
5817fe58-6e3d-4b6b-aa72-d4da06490a0b,42f2974c,bfadba9c,mae,2025-09-18 13:45:10.352542+00,2025-09-18 13:45:10.352542+00
599c2272-6e45-4b10-a063-bde31754e130,MEM000529,mem00031,pai,2025-09-04 15:04:33.081622+00,2025-09-04 15:04:33.081622+00
