idlider,idmembro,iddepto,idarea,idposicao,status
a9072c42,290475f6,cafb25b8,ad24c9fe,c3ee84db,Ativo
aa1c68b7,mem00024,11b5578a,b9527cad,5ca084b1,Ativo
aa4af038,mem00028,c3245218,824861de,7476ffb8,Inativo
aaa7c81b,mem00021,6444ed94,906811a8,,Inativo
aac907c5,mem00035,cafb25b8,ad24c9fe,c3ee84db,Ativo
aeb1b65a,mem00021,e910cfb7,b9527cad,5ca084b1,Inativo
aed5709e,e406450d,e91c4307,b9527cad,5ca084b1,Inativo
b07f72b5,mem00046,33b4a9a3,4ebd3162,5ca084b1,Ativo
b0e5debc,mem00022,e91c4307,b9527cad,5ca084b1,Ativo
b0f478c6,mem00025,e910cfb7,b9527cad,5ca084b1,Ativo
b46824f8,31ed3988,cafb25b8,ad24c9fe,c3ee84db,Ativo
b645d18a,mem00006,f5a571ce,45bad66e,61b957f1,Ativo
b81045a7,79db7e70,f5a571ce,45bad66e,5ca084b1,Ativo
b9b85ffc,mem00008,11b5578a,,61b957f1,Ativo
bb0cde51,mem00001,05c5c55d,b9527cad,61b957f1,Ativo
bb48fd11,06d24024,c3245218,824861de,c3ee84db,Ativo
beea9c8b,mem00015,375972a2,b9527cad,,Ativo
c043f201,62a2eb87,6444ed94,b9527cad,5ca084b1,Ativo
c095a19a,mem00041,e910cfb7,b9527cad,61b957f1,Inativo
c1917ec6,mem00036,cafb25b8,ad24c9fe,c3ee84db,Ativo
c2f34d8a,fa5df984,c3245218,824861de,c3ee84db,Inativo
c3b04280,mem00011,9478433e,b9527cad,,Ativo
c7e43e57,290475f6,c3245218,c344da41,c3ee84db,Ativo
ca32b958,aba15668,c3245218,824861de,c3ee84db,Ativo
cd9f7e2e,11cbd281,c3245218,890a0b1e,c3ee84db,Ativo
cfe860f2,baba5fe5,f5a571ce,45bad66e,5ca084b1,Inativo
d0a33958,mem00044,33b4a9a3,b7346492,5ca084b1,Inativo
d1412bf4,mem00008,33b4a9a3,b7346492,61b957f1,Ativo
d33bb219,mem00047,33b4a9a3,b7346492,5ca084b1,Ativo
d3db29d4,3878419b,05c5c55d,b9527cad,5ca084b1,Ativo
d42d57c2,ab49e890,e91c4307,b9527cad,5ca084b1,Inativo
d4a158bd,mem00030,ad72a13c,b9527cad,,Ativo
d6a46bb1,mem00041,114da0e3,b9527cad,5ca084b1,Inativo
d97f4d23,mem00045,33b4a9a3,4ebd3162,5ca084b1,Ativo
da6dd0dc,mem00014,33b4a9a3,b7346492,5ca084b1,Ativo
dcc80b44,3d936788,6444ed94,b9527cad,5ca084b1,Ativo
de98bf78,mem00034,c3245218,c344da41,5ca084b1,Ativo
e0d9666a,mem00002,c3245218,0fd2a7a5,5ca084b1,Inativo
e2158495,8cf940da,c3245218,824861de,c3ee84db,Ativo
e2a94a55,dca6fbb4,05c5c55d,b9527cad,5ca084b1,Ativo
e514c0cd,mem00040,be798a58,2cc43e6b,61b957f1,Ativo
e5cd62f9,0aa1cd98,c3245218,824861de,c3ee84db,Ativo
e5e08021,mem00030,114da0e3,b9527cad,5ca084b1,Ativo
e8fc7fa8,mem00018,c3245218,0fd2a7a5,5ca084b1,Ativo
e9ae5489,mem00011,114da0e3,b9527cad,5ca084b1,Ativo
eb89cde3,mem00039,cafb25b8,04ab6f01,c3ee84db,Inativo
ebb810c0,mem00015,114da0e3,b9527cad,5ca084b1,Ativo
ee0b8af6,e406450d,05c5c55d,b9527cad,5ca084b1,Ativo
efa227b8,mem00044,33b4a9a3,4ebd3162,5ca084b1,Inativo
f1df4477,mem00011,e91c4307,b9527cad,5ca084b1,Ativo
f2a779d8,e6d55cd2,c3245218,890a0b1e,c3ee84db,Ativo
f4c056bd,ccd62b8a,e175ef41,b9527cad,5ca084b1,Ativo
f5f2247f,mem00030,e175ef41,b9527cad,61b957f1,Ativo
f6bd781e,aba15668,6444ed94,b9527cad,5ca084b1,Inativo
f990b723,mem00045,e175ef41,b9527cad,5ca084b1,Ativo
fabc34a8,mem00038,cafb25b8,ad24c9fe,c3ee84db,Ativo
fc70332c,fa5df984,6444ed94,b9527cad,5ca084b1,Ativo
fd4985fa,mem00028,c3245218,5aee6443,7476ffb8,Inativo
fd6bfd3f,mem00033,e910cfb7,b9527cad,5ca084b1,Ativo
fdae52eb,mem00033,c3245218,824861de,5ca084b1,Ativo
fe01f755,mem00013,c3245218,5aee6443,7476ffb8,Ativo
ff3dad0c,bfadba9c,cafb25b8,ad24c9fe,c3ee84db,Ativo
ff8a0850,ccd62b8a,9478433e,b9527cad,5ca084b1,Ativo
