idavaliacao,idfrase,valor
0cb43705-d77b-443a-8189-a73bee789252,b5e14fff-36ab-44b7-afed-cd4656c51ea1,0
0cb43705-d77b-443a-8189-a73bee789252,beca0a12-87a2-4318-9833-6ab40fc426f2,2
0cb43705-d77b-443a-8189-a73bee789252,c07df549-3624-4f55-9927-eb212ddd5673,1
0cb43705-d77b-443a-8189-a73bee789252,c19533e3-94a3-45ef-9b38-d6d9dc48a30c,1
0cb43705-d77b-443a-8189-a73bee789252,cd0c0159-1217-48be-a34d-59ccda5ce1a5,1
0cb43705-d77b-443a-8189-a73bee789252,d9425451-5897-4baa-9880-d3f707eff195,2
0cb43705-d77b-443a-8189-a73bee789252,db72a39d-1e47-4708-a265-3f54a824368f,1
0cb43705-d77b-443a-8189-a73bee789252,db834a42-95f1-422b-8ee4-54adc1aacff8,3
0cb43705-d77b-443a-8189-a73bee789252,e08509d5-ab33-4515-8859-c1e5c80195ee,1
0cb43705-d77b-443a-8189-a73bee789252,f480c751-70e7-43c1-a2be-5e41392a08ec,1
0cb43705-d77b-443a-8189-a73bee789252,f6ad0303-a064-4aad-a73e-b17451e86f66,3
0cb43705-d77b-443a-8189-a73bee789252,fc2aa68d-6d5e-4cfc-84f2-49e9aef8691b,3
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,01890485-2713-4bd8-892d-46793b1bca27,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,094399eb-fd51-4d10-898e-e14f2b68cf38,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,0a7fd7e3-6c2f-4280-917b-5462f48f81c0,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,0aa77e93-326e-4e35-83e6-22d58a2419fd,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,0d9b19d1-ce7e-4cf3-b80d-7cf421600bed,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,144b8f8d-0b72-438b-821a-795837ef8fad,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,1f5af8d7-4476-4eb1-9016-e83356fa6374,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,2386cd85-1f80-40bf-a440-ba5ef2dfa19d,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,24e269be-4049-45df-811f-67666cb986bc,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,2835ed85-fa74-4950-8c8b-d648467630fc,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,341fb2d9-1e39-474b-84e7-b7343aa24a34,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,3e58e2ea-edee-4354-bb2e-f90461d874d1,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,3f83db3f-2748-4bae-bc85-5013a12d746e,0
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,4139d57c-5d98-4dec-8914-7757f7986bfb,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,42e8ae36-89aa-4e84-983e-571a0b695af8,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,54d9123c-365e-4a9a-b7c5-041e2041b8e8,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,5867e180-9785-471c-b188-066523c7a9c6,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,592ac40b-4132-4f51-950c-5fd4350e9b53,0
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,698822fe-9bd3-4503-a133-b8add18dd732,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,714f4085-2ccf-4a1a-997c-f0a789c3eb37,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,77db9dcd-41c7-4a1b-8ae8-728b5be5a095,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,7efb264a-25dd-460a-bfae-c8a6f87ba9f7,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,84efadb3-4340-49c8-9e01-2059873e207c,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,870cd564-9c4a-4843-8b1c-3bfd113e25bf,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,88553634-9f30-47d7-84d9-769324235e09,1
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,8a823e38-d132-4185-9042-19a479ba2f9e,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,8cfdf231-27c6-4a5e-81c9-18636b887cfc,2
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,8efd5c46-e757-40a2-b186-3cb6ecdfc633,1
