idagenda,iddepto,idlider,data,horario_inicial,horario_final,idlocal,ideventoig,idstatus,descricao,observacao,created_by,created_at,updated_at
4289520a,9327fe0b,,2025-06-01,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
457fdd50,9327fe0b,,2025-09-07,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4762b935,9327fe0b,,2025-01-26,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
496f8609,9327fe0b,,2025-02-02,,,e9150cce,c6fb330e,,Santa Ceia,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
49a19d90,9327fe0b,,2025-04-12,,,e9150cce,18b6eadd,,Oásis,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
49fa5a61,f5a571ce,,2025-09-18,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4a622c58,9327fe0b,,2025-08-20,,,e9150cce,1fca0c25,,Culto de Quarta - Batismo com o Espírito Santo,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4d74f0fd,f5a571ce,,2025-02-20,,,e9150cce,23e21b47,,Ensaio Dança,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4deb9441,9327fe0b,,2025-12-28,,,e9150cce,3bdbd021,,Culto da Família,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4fb3a622,9327fe0b,,2025-04-26,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
4fc6505b,9327fe0b,,2025-03-29,,,e9150cce,0e89bb50,,Culto Elite,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
5028c242,,,2025-02-15,,,,36a2cb58,,Abrigo Dona Norma,,,2025-08-15 23:32:55.079916+00,2025-10-16 18:26:23.667279+00
519e0d18,9327fe0b,,2025-01-09,,,e9150cce,232b12c4,,12 Dias de Jejum,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
51e2ed2c,e910cfb7,,2025-02-01,,,e9150cce,66792a7d,,Culto Drops,,,2025-08-15 23:32:55.079916+00,2025-08-15 23:32:55.079916+00
